id;Raw;significance;Computed;sentences500;chjh;jmw;mva;disagree;post_discussion;notes_discussion;final_code
11;t(263) = 1.93, p < .06;significant;0.054682169;remely similar to the in-group and different from the out-group. Turning now to the measure of agentic self-construal, the main effect of sex, F(1, 264) = 40.18, p < .001, indicates that male participants ( M = 2.87, SD = 1.16) rated themselves higher on this dimension than female participants ( M = 2.08, SD = 0.90). There was no main effect of condition, but the interaction was significant, F(2, 264) = 3.02, p = .05. As predicted, there was little gender difference in the intragroup condition, t(263) = 1.93, p < .06. In the control condition, the gender difference was reliable, t(264) = −3.81, p < .001, and in the intergroup condition, the gender difference was strong, with male participants ( M = 3.03, SD = 1.28) rating themselves more highly than female participants ( M = 1.83, SD = 0.86) on this dimension, t(263) = −5.12, p < .001. Gender accounted for 24% of the variance in the ratings in the intergroup condition. However, in contrast to the results obtained on the relational d;2;1;1;1;2;Notes a nonsignificant result as predicted. Unclear;effect expected
12;F(1, 84) = 15.97, p < .001;significant;0.000137581;st performance information, F(6, 164) = 3.59, p < .002, as well as a significant interaction between them, F(6, 164) = 2.26, p < .05. Univariate ANOVAs and intercell contrasts were conducted to test our hypotheses. All intercell contrasts were conducted using Fisher's LSDs, with the significance level set at p < .05. Table 3 presents the relevant means and standard deviations. Means (and Standard Deviations) for Study 3CompetenceAn ANOVA yielded a significant main effect for both sex of target, F(1, 84) = 15.97, p < .001, η 2 = .161, and past performance information, F(2, 84) = 8.74, p < .001, η 2 = .174. The Sex of Target × Past Performance Information interaction was also significant, F(2, 84) = 3.81, p < .05, η 2 = .084. Intercell contrasts, testing our specific hypotheses, were highly supportive of our predictions. As expected, women were rated as significantly less competent than their male teammates in the vague performance information condition but not in the specific perform;3;2;3;1;3;;no expectation
13;F(1, 1510) = 0.2, p = .65;nonsignificant;0.654784986;uct disorder, and oppositional defiant disorder as defined in the revised third edition of the Diagnostic and Statistical Manual of Mental Disorders ( American Psychiatric Association, 1987). Details of the clinical assessment procedures are given in Iacono et al. (1999). In a two-factor (Sex × Sample) analysis of variance (ANOVA), the sex, F(1, 1510) = 23.7, p < .001, and sample, F(1, 1510) = 5.8, p = .02, main effects were statistically significant, but the Sex × Sample interaction was not, F(1, 1510) = 0.2, p = .65. The sex effect reflected a greater number of externalizing symptoms in boys than in girls. The sample main effect reflected the fact that twins in the present sample had an average of 0.21 SD fewer externalizing symptoms than twins not included in the base sample. Given the moderate correlation between externalizing psychopathology and measures of the parent-child relationship ( Rothbaum &amp, Weisz, 1994), this significant difference suggests that the base sample only ;3;3;3;0;3;;no expectation
14;F(1, 111) = 18.10, p < .001;significant;4.39E+09;= .19. In Condition 3, in which the effect of sex role stereotypes was tested and gender-linked language differences were nullified, a significant multivariate main effect for speaker sex was found, F(3, 109) = 8.97, p < .001, providing support for the th;;;;;;;NA
15;t(62) = -2.76, p< .01;significant;0.007590623;.78, with large effect sizes for both analyses. There were no significant differences in number of domestic work locations, however, suggesting that the significant gender differences in work locations are due to lack of international mobility for the female executives. Whereas women did not differ from men in the proportions who expressed interest in future international assignments, the interested women were significantly more likely to indicate restrictions than were their male counterparts, t(62) = −2.76, p< .01, d= −.70. Content analysis of the restriction responses indicates that the most frequent restrictions mentioned by the women are dual career and timing concerns. Because men had more organizational tenure and tenure was significantly related to number of work locations ( r= .29, p< .01), number of international assignments ( r= .19, p= .056), and number of domestic assignments ( r= .50, p< .001), we computed partial correlations to control for these effects. Results indi;3;3;3;0;3;;no expectation
16; 2(1, N = 108) = 3.48, ns;nonsignificant;0.06211474;nts in the previous 12 months. Data on the frequency of the 11 methods of SMB queried in the FASM are presented in Table 1. No participants endorsed using any methods of self-mutilation other than those listed in Table 1. Frequency of Each Method of Self-Mutilative BehaviorSelf-mutilators were more likely to be female (74.2%) than male (25.8%), however, these rates were consistent with the gender breakdown of this sample, and there was no significant gender difference for the presence of SMB, χ 2(1, N = 108) = 3.48, ns. Most individuals began engaging in SMB in early adolescence, although some reported doing so during childhood (age of onset in years: M = 12.8, SD = 2.1, Mdn = 13.0, Mode = 13.0, range = 6–17). There were no significant age, gender, or ethnic differences for frequency, methods, or age of onset. Functions of SMBCFASeveral fit index values can be used to determine goodness-of-fit of confirmatory structural equation models, including nonsignificant χ 2, incremental fit ;3;1;3;1;3;;no expectation
17;F(1,146) = .95, p = .33;nonsignificant;0.331331433;t differ between groups. The groups differed with respect to sex, with slightly more males in the aMCI group. Age and sex were entered as covariates in analyses of GMLT scores.A univariate ANCOVA revealed that the aMCI group made fewer moves per second on the timed chase test (28.99�.79 vs. 33.89�.79, F(1,146) = 15.53, p<.001, d = .69) compared with healthy controls. Greater age was also associated with performance on the timed chase test (F(1,146) = 136.63, p<.001, r = -..69, p<.001), but sex (F(1,146) = .95, p = .33), and the interaction of group x sex (F(1,146) = .00, p = .95, were not significant. Accordingly, to control for the effect of differences in visuomotor processing speed, timed chase test scores were entered as a covariate in a multivariate analysis of GMLT performance measures.A MANCOVA of GMLT learning measures revealed a significant overall effect of group [F(5,143) = 2.86, p = .012], age [F(5,143) = 3.67, p = .004] was also significantly associated with GMLT learning m;3;3;3;0;3;;no expectation
18;t(344) = -1.066, p = .287;nonsignificant;0.287171239;FF original image () Table 2. Demographic information including sex and mean age at assessment.doi:10.1371/journal.pone.0051049.t002Out of the 346 sib pairs in the PPVT dataset, there were 270 male and 76 female first affected siblings and 261 male and 85 female second affected siblings. An independent-samples t-test demonstrated significantly higher PPVT scores for males versus females in the group of first affected siblings (t(344) = 2.409, p = .017), but not for the second affected siblings (t(344) = -1.066, p = .287). Despite the effect of sex on PPVT scores in the group of first affected siblings, an analysis of the subgroup of 214 sib pairs comprised of only males demonstrated that the effect of autism birth order on PPVT scores is still highly significant (t(213) = 3.370, p = .001). Out of the 319 sib pairs in the RCPM dataset, there were 248 male and 71 female first affected siblings and 236 male and 83 female second affected siblings. Similar to the PPVT scores, independent-sam;3;3;3;0;3;;no expectation
19;t(162) = 4.06, p < .01;significant;7.62E+09;vighurst, and Tobin's (1961) Life Satisfaction Index ( r = .59) and Rosenberg's (1965) Self-Esteem Scale ( r = .49) and strong discriminant validity with Zung's (1965) Depression Scale ( r = −.60, all ps < .01, Ryff, 1989, see also McGregor &amp, Little, 1998, Ryff &amp, Keyes, 1995, Schmutte &amp, Ryff, 1997, for research utilizing this measure). Sex DifferencesIndependent-sample t tests showed that women scored higher than men on the RISC ( Mwomen = 4.02, SD = 0.48, Mmen = 3.69, SD = 0.42), t(162) = 4.06, p < .01. There were no other significant sex differences. Participant sex did not interact with any of the findings below ( p > .1) and is not discussed further. Results and DiscussionRelational Self-Construal and Reasons for GoalsRISC scores were positively correlated with RARs ( r = .17, p < .05, see Table 1). Unexpectedly, RISC scores also correlated positively with PARs ( r = .18, p < .05). Although the RAR measure correlated positively with PARs ( r = .39, p < .01), the magnit;3;3;3;0;3;;no expectation
20;F(1, 72) = 131.42, p <.01;significant;6.69E-05;emale leaders, F(1, 38) = 10.89, p <.01, but in strength-focused conditions there was an opposite tendency, F(1, 38) = 3.80, p <.06. Employee appraisals, final task assignment, and estimated successEmployee appraisals, final task assignment, and estimated success were submitted to Social Influence Strategy × Leader Gender × Leader Outcome × Employee Gender mixed-model ANOVAs. Similar effects emerged across variables. First, there were main effects of employee gender on final task assignment, F(1, 72) = 131.42, p <.01, and estimated success, F(1, 72) = 4.37, p <.05, female employees ( M = 1.55) were assigned fewer valued tasks than male employees ( M = 4.45) but were estimated to be more successful ( Ms = 6.90 and 6.63 for female and male employees, respectively). Two significant interactions also emerged on each variable. The three-way interaction among social influence strategy, employee gender, and leader dependence was significant on employee appraisals, F(1, 72) = 9.09, p <.01, f;3;3;3;0;3;;no expectation
21;F(2, 48) = 0.004, p = .996;nonsignificant;0.996008321;r greater than 1,300 ms (2.3% of all latencies), to reduce the distorting effect of outliers. Results and discussion We submitted response latencies to a 3 (prime: White, Black, or Asian) × 2 (traits: masculine or feminine) × 2 (participant’s sex: masculine or feminine) × 2 (participant’s race: White or non-White) between-participants ANOVA. This analysis revealed a significant interaction between prime and traits, F(2, 60) = 3.58, p = .03, which was not qualified by participant’s sex, F(2, 48) = 0.004, p = .996, or participant’s race, F(2, 48) = 0.34, p = .71. Participants who were subliminally primed with Black responded significantly more quickly (M = 580.38 ms, SD = 64.78) to masculine words than did participants subliminally primed with Asian (M = 663.85 ms, SD = 88.89), t(31) = 2.09, p = .04, or with White (M = 690.04 ms, SD = 122.28), t(31) = 2.52, p = .02, response latencies to masculine words did not differ between participants primed with Asian and those primed with;3;3;3;0;3;;no expectation
22;F(2,55) <1, p>.8;nonsignificant;0.37446862;igned to either the n-back or the MOT training group. The No-Contact group was recruited separately, but in the same fashion, and matched to a training pair by gender and initial RAPM. Because of this matching procedure, the No-Contract group was slightly, but significantly, older than the two training groups (Table 1). The No-Contact group averaged 1.8 years older than the other two groups [F(2,55) = 3.37, p<.05]. However, the three groups did not differ significantly by gender or RAPM scores [F(2,55) <1, p>.8], nor did they differ on the full IQ score from the Wechsler Abbreviated Scale of Intelligence [31], administered as part of the pre-training battery [F(2,55) <1, p>.4]. Download: PPT PowerPoint slide PNG larger image () TIFF original image () Table 1. Participant Characteristics.doi:10.1371/journal.pone.0063614.t001Eighteen potential participants either dropped out of the study or were excluded after initial testing was completed. Two participants assigned to the dual n-back con;3;3;3;0;3;;no expectation
23;Z = 8.70, p <.001;significant;3.32E-04;.73, −0.231, z = −3.80, p <.001, for the women, and B =.091, CI = −0.229, 0.412, z = 0.56, p =.576, for the men) and the SUR condition ( B = −.538, CI = −0.785, −0.291, z = −4.27, p <.001, for the women, and B =.050, CI = −0.258, 0.359, z = 0.32, p =.749, for the men). In contrast, although both men and women in the HIV condition improved their HIV-related knowledge, men improved their HIV knowledge more than women but only in the HIV-SUR contrast ( B = 11.57, CI = 8.964, 14.175, z = 8.70, p <.001, for the men, and B = 6.816, CI = 5.004, 8.628, z = 7.37, p <.001, for the women). These gender differences were significant at p <.05. Moderator analyses using GEE revealed that the impact of the HIV intervention also varied as a function of patients' diagnoses for two outcome variables. Thus, in the HIV-SUR contrast, persons diagnosed with major depression (a) reduced the frequency of unprotected vaginal sex ( B = −0.640, CI = −0.948, −0.333, z = −4.08, p <.001, for t;3;3;3;0;3;;no expectation
24;F(1, 97) = 2.81, p < .10;nonsignificant;0.096898694;y felt after finding out about the other player's deception or honesty, response options ranged from completely happy (1) to completely unhappy (7). All participants received $9 minus the cost of any reward or punishment they had given. Results Women chose to reward or punish the other player marginally more frequently than men did (73% vs. 61%), χ2(1, N = 176) = 3.08, p < .08, and also chose marginally larger rewards and punishments than men did (M = 1.92, SD = 1.56, vs. M = 1.48, SD = 1.49), F(1, 97) = 2.81, p < .10 (Croson &amp, Buchan, 1999). Therefore, we report results of analyses controlling for gender. Whether or not participants believed the other player did not have a significant main effect and was not involved in any significant interactions (all Fs < 1.4), as a result, we did not control for variations in whether or not they followed the other party's advice. Frequency Participants chose to reward more often than to punish (35%), both when conditions were equated in absolu;3;3;3;0;3;;no expectation
25;F(2, 238) = 75.86, p < .0001;significant;3.26E-12;t, in general, girls were endorsed for prosocial behavior more often than were boys, F(1, 119) = 29.83, p < .0001. In addition, endorsement rates varied as a function of sex of respondent, item content, and test form. As expected, a significant main effect was found for sex of respondent, F(1, 119) = 112.78, p < .0001, with boys tending to select boys as helpers ( M = .14) and girls tending to select girls ( M = −.42). Also, as expected, scores differed across the three types of item content, F(2, 238) = 75.86, p < .0001. Feminine and neutral items were more likely to receive endorsements for girls ( Ms = −.44 and −.24, respectively), whereas masculine items were more likely to receive endorsements for boys ( M = .16). These item-content differences were somewhat more pronounced on the gender-rating form than on the nomination form as indicated by the Test Form × Item Content interaction, F(2, 238) = 8.56, p < .0003. That is, the feminine items were even more likely to receive fe;2;2;2;0;2;;effect expected
26;F(1,54) = .37, p = .55;nonsignificant;0.545554389;uring the task was analysed using a 2 (pain condition: pain vs. control) � 2 (sex: male/female) � 2 (task difficulty: easy vs. hard) ANOVA. Participants recalled generating more words in the easy task (mean = 18.97) than the hard task (mean = 11.94) F(1,54) = 114.21, p<.001. There was a significant three-way interaction between pain condition � sex � task difficulty F(1,54) = 4.35, p<.05. All other effects were non-significant [sex F(1,54) = .46, p = .50, pain F(1,54) = .03, p = .86, sex � pain F(1,54) = .37, p = .55, sex by task difficulty F(1,54) = 2.43, p = .13, Pain � task difficulty F(1,54) = 1.72, p = .20].In order to understand the nature of this 3-way interaction, separate ANOVAs were conducted for the control and pain conditions (see Figures 1 and 2). This indicated a significant sex � task difficulty interaction within the control condition F(1,26) = 5.09, p<.05, but not the pain condition F(1,28) = .19, p = .67. Follow-up simple effects analysis was therefore conducted amongs;3;3;3;0;3;;no expectation
27;F(14, 100) = .36, ns;nonsignificant;0.982714794;ividness of mental imagery, and creativity than did the comparison groups. The medium fantasy-prone subjects scored higher than their nonfantasy-prone counterparts on the readministration of the ICMI and on measures of absorption, response to waking suggestion, and vividness of mental imagery. Medium and low fantasy-prone subjects did not, however, differ in terms of hypnotic susceptibility and creativity. No multivariate effects for sex, F(7, 49) = .51, ns, or for the Group × Sex interaction, F(14, 100) = .36, ns, were observed. Table 1 presents the means and standard deviations for all dependent measures and significance levels for posttests. Range-corrected ICMI correlations also are presented. Means, Standard Deviations, Posttest Findings, and CorrelationsPercentages of subjects who were classified as high (9–12 suggestions passed) and low (0–3 suggestions passed) in hypnotic susceptibility were computed for high, medium, and low fantasy-prone subjects. Of the high, medium, and;3;3;3;0;3;;no expectation
28;F(2, 305) = 0.04, p =.96;nonsignificant;0.960794478;near increase in cognitive attraction deviated from the linear decrease inaffective attraction in the condition of high meaning and anticipated meeting(i.e., the social context in which upward comparisonposes a threat to self-evaluation and, consequently, waspredicted to generate opposing cognitive and affective reactions toward thepartner). 7 The Meeting × Meaningfulness × Position interaction on ratedthreat was not moderated by sex—that is, for Meeting ×Meaningfulness × Position × Sex, F(2, 305) = 0.04, p =.96. 8 MacKinnon et al.(2002) empirically compared 14 methods for establishingmediation, including Baron and Kenny's(1986) method, and concluded that the z-prime method was superior in terms of accuratelymaintaining the Type I error rate and maximizing statistical power.Mediation is established with the z-prime technique bydemonstrating that the independent variable predicts the mediator, themediator predicts the outcome variable when the independent variable iscontrolled, an;3;3;3;0;3;;no expectation
29;t(2638) = 4.92, p < .01;significant;9.19E+07;tween the two partners' personalities. These analyses also included the main effect of gender, and we allowed the actor, partner, and discrepancy effects to vary by gender. As was the case for relationship satisfaction, there was evidence of a very slight gender main effect for life satisfaction, although it differed in direction from relationship satisfaction, with women reporting higher life satisfaction than men (Australian sample for men, M = 8.0, SD = 1.32, for women, M = 8.15, SD = 1.35), t(2638) = 4.92, p < .01, d = −0.11 (British sample for men, M = 5.26, SD = 1.18, for women, M = 5.32, SD = 1.22), t(3226) = 2.14, p < .05, d = −0.05 (German sample for men, M = 6.99, SD = 1.82, for women, M = 7.05, SD = 1.74), t(5676) = 2.68, p < .01, d = −0.03. Few statistically significant gender differences emerged, and these are noted in the text. Standardized Regression Coefficients Predicting Life Satisfaction in the HILDA (Australia), BHPS (UK), and GSOEP (Germany) Using Separate Tra;3;3;3;0;3;;no expectation
30;t(275) = 2.00, p <.05;significant;0.046483591;effects of initiation (β =.92), t(275) = 3.90, p <.001, preparation (β =.60), t(275) = 2.34, p <.05, grade (β =.98), t(275) = 3.85, p <.001, and sex (β =.81), t(275) = 3.05, p <.01, were obtained. Participants rated the other-initiated target, the target who did some preparation, and the target who received an A as having greater ability. Overall, men gave the target higher ability ratings than did women. However, this main effect was qualified by an Initiation × Sex interaction (β =.59), t(275) = 2.00, p <.05. The difference in men’s and women’s ability ratings was greater in the other-initiated ( t > 3.00, p <.05) than in the self-initiated condition ( t < 1.00, ns). Attributions to AbilityFor attributions to ability, we obtained main effects of initiation (β =.64), t(275) = 2.20, p =.035, and grade (β = 1.19), t(275) = 9.48, p <.001. However, these main effects were qualified by Initiation × Grade (β =.90), t(275) = 2.63, p =.01, and Initiation × Grade × Sex interacti;3;3;3;0;3;;no expectation
31;F(1, 294) = 37.57, p < .001;significant;2.83E+05;ears' tenure in their current marriage, and between 6 and 7 years' tenure in the role of parent. Approximately three fifths of respondents reported a gross household income for the year of $45,000 or more, with no statistically significant differences in men's and women's total household earnings. Although the modal man and woman in the study both worked 40 hours per week, the average man was employed 41.7 hours per week ( SD = 8.9), the average woman was employed 35 hours per week ( SD = 9.0), F(1, 294) = 37.57, p < .001. About one quarter of the women worked part time (i.e., under 32 hours per week). Procedure and MeasuresRespondents were recruited through 68 preschools in four southern California cities by means of a letter inviting fathers and mothers to participate in a program of research on how parents of young children manage their various roles (i.e., parent, spouse, and employed person). Surveys that required approximately 1–2 hr. to complete were mailed to 297 women and 281;3;3;3;0;3;;no expectation
32;t(74) = 1.35, p< .18;nonsignificant;0.181130959;ort for Predictions 4 and 5 can be noted. The Gender × Job Type interaction was significant, F(1, 139) = 7.08, p< .01, and planned contrasts indicated that for the feminine (secretary) job, the female applicant was judged significantly more positively than the male applicant, contrast t(77) = 1.99, p< .05, whereas the converse was true for the masculine (chief of staff) job—the male applicant was judged more positively than the female applicant. This latter effect was not, however, reliable, t(74) = 1.35, p< .18. Figure 4. Overall applicant evaluations by applicant sex, job type, and response scale, Study 1. Ch = chiefAlso consistent with shifting standards predictions was the finding that when judgments were made in subjective units (lower panel of Figure 4),reversals of these patterns appeared. Subjectively, the female chief of staff applicant was evaluated more positively than the male chief of staff applicant, and the male secretarial applicant was evaluated more positively than ;3;3;3;0;3;;no expectation
33;F(4, 85)= 3.0, p< .05;significant;0.022851915; .01) than those of subjects in the neutral group. Other comparisons showed no significant differences between either the positive self-evaluative and positive somatic conditions or the negative self-evaluative and negative somatic conditions. These results indicated that overall the self-evaluative and somatic conditions had equally strong effects in mood. However, it is important to note that the analysis of variance ( ANOVA) also revealed a significant Sex × Treatment Condition interaction, F(4, 85)= 3.0, p< .05. Ttests showed that the mood scores of women in the negative self-evaluative condition were significantly more negative than those of men in this condition. Thus, women were more responsive to the negative self-evaluative statements than were men. There were no significant differences between the scores of men and women in any of the other conditions. (See also the preliminary analyses presented later.) Adjusted Posttreatment Mood Scores as a Function of Experimental Conditi;3;3;3;0;3;;no expectation
34;F(3, 33) = 1.76, p= .18;nonsignificant;0.173990062; than high school education, and annual income of less than $3,000. The test of differences between boys and girls for these variables was not significant, F(3, 50) = 0.92, p= .44. Likewise, boys and girls did not differ significantly in parity (firstborn vs. later born) or perinatal status (Apgar, birthweight, or gestational age), F(4, 33) = 1.73, p= .17. There were no significant differences between boys and girls at any age in degree of psychosocial risk as measured by the family risk index, F(3, 33) = 1.76, p= .18, quality of the home environment, F(3, 39) = 1.82, p= .16, maternal teaching, F(2, 48) = 0.31, p= .73, mother-to-child conversation, F(3, 38) = 1.43, p= .25, or infant attachment security, F(2, 47) = 0.34, p= .71. Tests for sex differences were also nonsignificant when these dependent measures were treated as continuous (nondichotomized) variables. Relations Between Sex and Other Predictor VariablesAdditional analyses examined potential relations among child’s sex, proxi;3;3;3;0;3;;no expectation
35;F(1, 33) = 6.93, p < .05;significant;0.012793762; members provided a performance measure of substantive, task-relevant contributions. The sex of model effects (center panel of Figure 1) were generally similar to those for talking times. Women and men contributed equal numbers of suggestions in both the all-female and all-male authority conditions, contrast F s(1, 33) = 0.57 and 0.04 (both ns). Men contributed more suggestions than did women in one of the mixed authority conditions (reversed commercials followed by male experimenter), contrast F(1, 33) = 6.93, p < .05, but not the other, contrast F(1, 33) = 0.37, ns). The content data showed that the women's talking times represented substantive task contributions, not merely social-emotional support of the men's ideas. The content data showed no significant sex of subject main effect ( Table 2). Men did not contribute more substantive content suggestions than women did, on the average over all conditions. In summary, the performance data partly supported the hypothesis: Men and women ;3;3;;1;3;;no expectation
